 ,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts_38,Hand Counts_39,Combinations_38,Combinations_39,Percentage_38,Percentage_39,Percentage Diff,Comb 39/38,Perc Diff
79,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,144,144,0.06%,0.06%,0.00%,100.00%,0.10%
81,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7,243,243,0.06%,0.06%,0.00%,100.00%,0.10%
92,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,6,30,30,0.05%,0.05%,0.00%,100.00%,0.08%
94,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,270,180,0.03%,0.03%,0.00%,66.67%,0.05%
97,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,270,180,0.03%,0.03%,0.00%,66.67%,0.05%
96,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,180,120,0.03%,0.03%,0.00%,66.67%,0.05%
95,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,180,180,0.03%,0.03%,0.00%,100.00%,0.05%
98,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,270,270,0.03%,0.03%,0.00%,100.00%,0.05%
93,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,180,180,0.03%,0.03%,0.00%,100.00%,0.05%
101,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,3,45,24,0.02%,0.02%,0.00%,53.33%,0.04%
106,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,3,45,24,0.02%,0.02%,0.00%,53.33%,0.04%
105,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,15,15,0.02%,0.02%,0.00%,100.00%,0.04%
102,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,3,81,45,0.02%,0.02%,0.00%,55.56%,0.04%
103,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,45,45,0.02%,0.02%,0.00%,100.00%,0.04%
99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,15,15,0.02%,0.02%,0.00%,100.00%,0.04%
117,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,5,5,0.02%,0.02%,0.00%,100.00%,0.03%
116,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,90,90,0.02%,0.02%,0.00%,100.00%,0.03%
112,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,5,5,0.02%,0.02%,0.00%,100.00%,0.03%
118,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,162,108,0.02%,0.02%,0.00%,66.67%,0.03%
115,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,90,60,0.02%,0.02%,0.00%,66.67%,0.03%
113,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,108,108,0.02%,0.02%,0.00%,100.00%,0.03%
107,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,108,72,0.02%,0.02%,0.00%,66.67%,0.03%
108,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,5,5,0.02%,0.02%,0.00%,100.00%,0.03%
109,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,108,72,0.02%,0.02%,0.00%,66.67%,0.03%
110,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,135,90,0.02%,0.02%,0.00%,66.67%,0.03%
111,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,90,60,0.02%,0.02%,0.00%,66.67%,0.03%
119,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,54,36,0.01%,0.01%,0.00%,66.67%,0.01%
6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,544,557,25308,27417,4.43%,4.46%,-0.03%,108.33%,-2.96%
5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,544,557,25308,27417,4.43%,4.46%,-0.03%,108.33%,-2.96%
4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,544,557,16872,18278,4.43%,4.46%,-0.03%,108.33%,-2.96%
3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,544,557,25308,18278,4.43%,4.46%,-0.03%,72.22%,-2.96%
1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1088,1114,42180,45695,8.85%,8.91%,-0.06%,108.33%,-5.93%
2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1088,1114,50616,54834,8.85%,8.91%,-0.06%,108.33%,-5.93%
0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2236,2327,73815,82251,18.19%,18.61%,-0.42%,111.43%,-42.23%
66,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,14,0,38,0,0.11%,0.00%,0.11%,0.00%,11.39%
