,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
78,True,False,False,True,False,False,False,False,False,False,8,65,0.0006508298080052066,"Handset object with 8 distinct hands, and 65 hand combinations."
85,False,True,False,True,True,False,False,False,False,False,7,144,0.0005694760820045558,"Handset object with 7 distinct hands, and 144 hand combinations."
91,False,True,True,False,False,True,False,False,False,False,7,243,0.0005694760820045558,"Handset object with 7 distinct hands, and 243 hand combinations."
90,False,True,True,True,False,False,False,False,False,False,7,243,0.0005694760820045558,"Handset object with 7 distinct hands, and 243 hand combinations."
89,False,True,False,False,True,True,False,False,False,False,7,144,0.0005694760820045558,"Handset object with 7 distinct hands, and 144 hand combinations."
88,True,False,False,True,True,False,False,False,False,False,7,105,0.0005694760820045558,"Handset object with 7 distinct hands, and 105 hand combinations."
87,True,False,False,True,False,True,False,False,False,False,7,180,0.0005694760820045558,"Handset object with 7 distinct hands, and 180 hand combinations."
86,True,False,True,False,True,False,False,False,False,False,7,105,0.0005694760820045558,"Handset object with 7 distinct hands, and 105 hand combinations."
84,False,True,False,True,False,True,False,False,False,False,7,243,0.0005694760820045558,"Handset object with 7 distinct hands, and 243 hand combinations."
83,True,False,False,False,True,True,False,False,False,False,7,105,0.0005694760820045558,"Handset object with 7 distinct hands, and 105 hand combinations."
82,False,True,False,False,True,False,False,False,False,False,7,55,0.0005694760820045558,"Handset object with 7 distinct hands, and 55 hand combinations."
81,True,False,True,False,False,True,False,False,False,False,7,180,0.0005694760820045558,"Handset object with 7 distinct hands, and 180 hand combinations."
80,False,True,True,False,True,False,False,False,False,False,7,144,0.0005694760820045558,"Handset object with 7 distinct hands, and 144 hand combinations."
79,True,False,True,True,False,False,False,False,False,False,7,180,0.0005694760820045558,"Handset object with 7 distinct hands, and 180 hand combinations."
92,True,False,False,False,True,False,False,False,False,False,6,30,0.00048812235600390497,"Handset object with 6 distinct hands, and 30 hand combinations."
