,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
56,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,1170,0.002239642,"Handset object with 28 distinct hands, and 1170 hand combinations."
55,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,1170,0.002239642,"Handset object with 28 distinct hands, and 1170 hand combinations."
54,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,1404,0.002239642,"Handset object with 28 distinct hands, and 1404 hand combinations."
53,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,702,0.002239642,"Handset object with 28 distinct hands, and 702 hand combinations."
59,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,936,0.002239642,"Handset object with 28 distinct hands, and 936 hand combinations."
51,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,351,0.002239642,"Handset object with 28 distinct hands, and 351 hand combinations."
46,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,780,0.002239642,"Handset object with 28 distinct hands, and 780 hand combinations."
50,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,351,0.002239642,"Handset object with 28 distinct hands, and 351 hand combinations."
44,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,1404,0.002239642,"Handset object with 28 distinct hands, and 1404 hand combinations."
45,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,1404,0.002239642,"Handset object with 28 distinct hands, and 1404 hand combinations."
43,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,1755,0.002239642,"Handset object with 28 distinct hands, and 1755 hand combinations."
47,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,1170,0.002239642,"Handset object with 28 distinct hands, and 1170 hand combinations."
48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,28,1170,0.002239642,"Handset object with 28 distinct hands, and 1170 hand combinations."
49,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,1404,0.002239642,"Handset object with 28 distinct hands, and 1404 hand combinations."
61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,310,0.001839706,"Handset object with 23 distinct hands, and 310 hand combinations."
62,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,300,0.001279795,"Handset object with 16 distinct hands, and 300 hand combinations."
