,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Iyslander, Stormbind","Kano, Dracai of Aether","Katsu, the Wanderer","Levia, Shadowborn Abomination","Lexi, Livewire","Maxx 'The Hype' Nitro","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Prism, Awakener of Sol",Games,453,1473,2466,511,1119,1539,2025,1252,1706,818,1634,2798,1880,308,1230,943,546,2882,290,1707,1387,3907
"Prism, Awakener of Sol",Games going first,228,744,1134,249,509,821,1013,704,842,531,959,1468,1144,148,615,439,325,1334,146,928,649,1814
"Prism, Awakener of Sol",Games going second,225,729,1332,262,610,718,1012,548,864,287,675,1330,736,160,615,504,221,1548,144,779,738,2093
"Prism, Awakener of Sol",Wins,258,738,1173,200,398,864,361,282,976,541,516,975,637,141,615,331,311,1026,211,892,488,1629
"Prism, Awakener of Sol",Wins going first,138,350,557,91,187,450,173,160,486,343,278,536,358,68,309,164,198,499,109,474,225,821
"Prism, Awakener of Sol",Wins going second,120,388,616,109,211,414,188,122,490,198,238,439,279,73,306,167,113,527,102,418,263,808
"Rhinar, Reckless Rampage",Games,3939,6273,7982,864,6393,5811,8734,7227,7005,5416,5337,3774,7253,463,943,5332,2011,3927,510,4104,5782,1505
"Rhinar, Reckless Rampage",Games going first,1997,3351,3874,433,3203,3009,4365,3840,3484,2918,3006,2082,4249,215,504,2666,1191,1854,261,2096,2822,684
"Rhinar, Reckless Rampage",Games going second,1942,2922,4108,431,3190,2802,4369,3387,3521,2498,2331,1692,3004,248,439,2666,820,2073,249,2008,2960,821
"Rhinar, Reckless Rampage",Wins,2322,2800,3587,470,3225,2667,4709,2565,3275,2829,2191,1970,2666,278,612,2666,1077,1721,384,1957,2190,808
"Rhinar, Reckless Rampage",Wins going first,1180,1503,1719,240,1631,1293,2403,1289,1656,1511,1132,1043,1509,130,337,1344,625,830,208,979,1042,395
"Rhinar, Reckless Rampage",Wins going second,1142,1297,1868,230,1594,1374,2306,1276,1619,1318,1059,927,1157,148,275,1322,452,891,176,978,1148,413
"Riptide, Lurker of the Deep",Games,1346,4229,3081,495,1897,2033,2969,1901,1795,1691,3921,1562,3617,325,546,2011,2112,1491,289,4928,2278,824
"Riptide, Lurker of the Deep",Games going first,594,1952,1272,208,715,845,1279,925,898,1051,1947,712,1867,125,221,820,1056,555,112,2289,888,288
"Riptide, Lurker of the Deep",Games going second,752,2277,1809,287,1182,1188,1690,976,897,640,1974,850,1750,200,325,1191,1056,936,177,2639,1390,536
"Riptide, Lurker of the Deep",Wins,634,1779,1166,287,977,1172,553,1001,466,595,1814,866,1480,189,235,934,1056,850,184,2423,828,427
"Riptide, Lurker of the Deep",Wins going first,269,751,460,114,356,457,215,425,212,345,787,344,657,71,108,368,468,302,70,1074,296,149
"Riptide, Lurker of the Deep",Wins going second,365,1028,706,173,621,715,338,576,254,250,1027,522,823,118,127,566,588,548,114,1349,532,278
"Ser Boltyn, Breaker of Dawn",Games,2254,4335,6078,1086,4027,3819,6252,4195,4299,2983,4130,5396,4387,695,2882,3927,1491,3256,661,3699,3797,5721
"Ser Boltyn, Breaker of Dawn",Games going first,1218,2534,3124,624,2077,2295,3489,2471,2292,1894,2621,2999,2770,334,1548,2073,936,1628,363,2323,2008,2790
"Ser Boltyn, Breaker of Dawn",Games going second,1036,1801,2954,462,1950,1524,2763,1724,2007,1089,1509,2397,1617,361,1334,1854,555,1628,298,1376,1789,2931
"Ser Boltyn, Breaker of Dawn",Wins,1270,1925,3015,637,2350,1675,2144,1807,1218,1362,1828,3212,1454,493,1856,2206,641,1628,511,1887,1582,3006
"Ser Boltyn, Breaker of Dawn",Wins going first,704,1086,1586,381,1271,971,1226,1036,666,886,1132,1800,899,249,1021,1182,388,855,285,1180,878,1581
"Ser Boltyn, Breaker of Dawn",Wins going second,566,839,1429,256,1079,704,918,771,552,476,696,1412,555,244,835,1024,253,773,226,707,704,1425
"Teklovossen, Esteemed Magnate",Games,367,834,908,2115,625,514,1088,710,397,213,662,473,519,1631,290,510,289,661,910,717,307,456
"Teklovossen, Esteemed Magnate",Games going first,163,440,421,1096,310,263,566,438,213,131,395,266,323,741,144,249,177,298,455,409,129,209
"Teklovossen, Esteemed Magnate",Games going second,204,394,487,1019,315,251,522,272,184,82,267,207,196,890,146,261,112,363,455,308,178,247
"Teklovossen, Esteemed Magnate",Wins,112,198,271,771,183,132,129,77,46,51,139,128,72,669,79,126,105,150,455,179,53,121
"Teklovossen, Esteemed Magnate",Wins going first,56,97,130,410,90,75,64,45,19,30,86,73,39,332,42,73,63,72,227,94,20,58
"Teklovossen, Esteemed Magnate",Wins going second,56,101,141,361,93,57,65,32,27,21,53,55,33,337,37,53,42,78,228,85,33,63
"Uzuri, Switchblade",Games,1669,9068,7905,1234,4129,4560,7839,4062,5176,3515,7173,3953,9112,760,1707,4104,4928,3699,717,5186,4604,2763
"Uzuri, Switchblade",Games going first,734,4578,3668,568,1648,2161,3602,2013,2613,2128,3885,1711,5138,261,779,2008,2639,1376,308,2593,2108,1058
"Uzuri, Switchblade",Games going second,935,4490,4237,666,2481,2399,4237,2049,2563,1387,3288,2242,3974,499,928,2096,2289,2323,409,2593,2496,1705
"Uzuri, Switchblade",Wins,856,4350,3857,740,2175,2366,2320,1982,1599,1498,3756,2354,4606,520,815,2147,2505,1812,538,2593,1827,1575
"Uzuri, Switchblade",Wins going first,353,2120,1838,339,923,1076,1064,891,774,895,1888,925,2428,180,361,1030,1290,669,223,1215,803,639
"Uzuri, Switchblade",Wins going second,503,2230,2019,401,1252,1290,1256,1091,825,603,1868,1429,2178,340,454,1117,1215,1143,315,1378,1024,936
"Viserai, Rune Blood",Games,2974,5851,7491,453,5428,5316,8250,6193,5876,4562,5602,3734,7337,333,1387,5782,2278,3797,307,4604,4596,1741
"Viserai, Rune Blood",Games going first,1568,3289,3656,251,2824,2999,4279,3362,3182,2879,3334,2041,4306,167,738,2960,1390,1789,178,2496,2298,844
"Viserai, Rune Blood",Games going second,1406,2562,3835,202,2604,2317,3971,2831,2694,1683,2268,1693,3031,166,649,2822,888,2008,129,2108,2298,897
"Viserai, Rune Blood",Wins,1943,2713,3638,221,2801,2746,4189,2786,2410,2253,2749,2428,2584,200,899,3592,1450,2215,254,2777,2298,962
"Viserai, Rune Blood",Wins going first,1015,1502,1872,129,1453,1487,2149,1439,1284,1382,1557,1312,1378,104,475,1812,858,1085,145,1472,1171,511
"Viserai, Rune Blood",Wins going second,928,1211,1766,92,1348,1259,2040,1347,1126,871,1192,1116,1206,96,424,1780,592,1130,109,1305,1127,451
"Vynnset, Iron Maiden",Games,745,2570,4550,755,1823,2804,3824,2057,3230,1326,2580,5513,3057,506,3907,1505,824,5721,456,2763,1741,4286
"Vynnset, Iron Maiden",Games going first,401,1552,2403,456,1029,1685,2275,1258,1802,931,1720,3236,2108,297,2093,821,536,2931,247,1705,897,2143
"Vynnset, Iron Maiden",Games going second,344,1018,2147,299,794,1119,1549,799,1428,395,860,2277,949,209,1814,684,288,2790,209,1058,844,2143
"Vynnset, Iron Maiden",Wins,363,966,1369,370,722,1082,1441,918,1150,677,1154,2832,867,304,2278,697,397,2715,335,1188,779,2143
"Vynnset, Iron Maiden",Wins going first,203,635,782,233,435,651,920,622,649,464,789,1759,578,206,1285,408,258,1506,184,769,446,1157
"Vynnset, Iron Maiden",Wins going second,160,331,587,137,287,431,521,296,501,213,365,1073,289,98,993,289,139,1209,151,419,333,986
