,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Kano, Dracai of Aether","Katsu, the Wanderer","Levia, Shadowborn Abomination","Maxx 'The Hype' Nitro","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Rhinar, Reckless Rampage",Games going second,91,244,380,350,190,156,330,225,65,188,129,189,81,133,92,199,215,200,90,128
"Rhinar, Reckless Rampage",Wins,110,222,352,384,201,159,386,219,105,206,133,221,116,133,92,146,331,212,94,121
"Rhinar, Reckless Rampage",Wins going first,51,116,162,194,100,82,210,117,74,107,62,110,74,73,54,67,176,117,50,58
"Rhinar, Reckless Rampage",Wins going second,59,106,190,190,101,77,176,102,31,99,71,111,42,60,38,79,155,95,44,63
"Riptide, Lurker of the Deep",Games,109,237,285,369,149,130,243,228,71,220,156,248,99,188,48,195,210,209,84,144
"Riptide, Lurker of the Deep",Games going first,57,128,121,155,72,56,118,138,43,123,68,104,31,92,24,79,86,110,32,52
"Riptide, Lurker of the Deep",Games going second,52,109,164,214,77,74,125,90,28,97,88,144,68,96,24,116,124,99,52,92
"Riptide, Lurker of the Deep",Wins,47,119,106,213,60,75,40,135,24,123,82,145,35,96,24,115,135,118,43,83
"Riptide, Lurker of the Deep",Wins going first,22,62,43,85,28,34,20,85,16,65,36,57,16,54,7,44,54,65,10,32
"Riptide, Lurker of the Deep",Wins going second,25,57,63,128,32,41,20,50,8,58,46,88,19,42,17,71,81,53,33,51
"Ser Boltyn, Breaker of Dawn",Games,215,641,727,903,467,339,864,545,209,500,291,544,243,364,195,214,552,510,201,336
"Ser Boltyn, Breaker of Dawn",Games going first,113,418,382,527,245,227,506,333,157,330,160,264,147,199,116,107,307,338,109,166
"Ser Boltyn, Breaker of Dawn",Games going second,102,223,345,376,222,112,358,212,52,170,131,280,96,165,79,107,245,172,92,170
"Ser Boltyn, Breaker of Dawn",Wins,131,306,444,530,250,150,341,267,105,222,193,390,160,218,80,107,433,308,114,167
"Ser Boltyn, Breaker of Dawn",Wins going first,70,185,233,320,148,99,207,154,76,149,108,197,95,120,45,57,243,210,68,85
"Ser Boltyn, Breaker of Dawn",Wins going second,61,121,211,210,102,51,134,113,29,73,85,193,65,98,35,50,190,98,46,82
"Teklovossen, Esteemed Magnate",Games,296,679,741,1666,482,428,900,603,180,553,385,1169,237,438,210,552,600,582,250,356
"Teklovossen, Esteemed Magnate",Games going first,131,354,338,865,237,216,459,377,111,334,216,516,126,215,124,245,300,330,99,165
"Teklovossen, Esteemed Magnate",Games going second,165,325,403,801,245,212,441,226,69,219,169,653,111,223,86,307,300,252,151,191
"Teklovossen, Esteemed Magnate",Wins,92,167,225,594,141,109,108,69,42,120,98,496,70,107,75,119,300,142,43,101
"Teklovossen, Esteemed Magnate",Wins going first,48,82,113,317,76,62,50,39,25,73,55,246,39,60,43,55,148,75,16,54
"Teklovossen, Esteemed Magnate",Wins going second,44,85,112,277,65,47,58,30,17,47,43,250,31,47,32,64,152,67,27,47
"Uzuri, Switchblade",Games,138,740,944,1048,508,452,1019,609,212,567,354,624,270,449,209,510,582,296,227,349
"Uzuri, Switchblade",Games going first,57,423,442,486,200,230,465,320,130,310,179,216,147,200,99,172,252,148,76,138
"Uzuri, Switchblade",Games going second,81,317,502,562,308,222,554,289,82,257,175,408,123,249,110,338,330,148,151,211
"Uzuri, Switchblade",Wins,63,338,435,634,252,220,330,287,95,328,177,426,103,237,91,202,440,148,128,159
"Uzuri, Switchblade",Wins going first,24,198,198,296,94,110,157,132,50,159,87,148,50,105,46,74,185,76,38,60
"Uzuri, Switchblade",Wins going second,39,140,237,338,158,110,173,155,45,169,90,278,53,132,45,128,255,72,90,99
"Viserai, Rune Blood",Games,78,231,299,357,200,226,354,207,79,216,145,252,120,176,84,201,250,227,106,112
"Viserai, Rune Blood",Games going first,50,138,177,206,129,140,206,130,53,152,94,122,61,90,52,92,151,151,53,52
"Viserai, Rune Blood",Games going second,28,93,122,151,71,86,148,77,26,64,51,130,59,86,32,109,99,76,53,60
"Viserai, Rune Blood",Wins,33,87,124,176,76,113,114,83,40,85,78,141,66,82,41,87,207,99,53,47
"Viserai, Rune Blood",Wins going first,22,45,71,105,43,63,67,53,29,58,44,69,32,46,19,46,124,61,21,22
"Viserai, Rune Blood",Wins going second,11,42,53,71,33,50,47,30,11,27,34,72,34,36,22,41,83,38,32,25
"Vynnset, Iron Maiden",Games,165,462,546,594,303,290,566,411,180,379,221,390,195,231,144,336,356,349,112,172
"Vynnset, Iron Maiden",Games going first,94,279,280,360,200,192,341,258,133,271,142,224,88,128,92,170,191,211,60,86
"Vynnset, Iron Maiden",Games going second,71,183,266,234,103,98,225,153,47,108,79,166,107,103,52,166,165,138,52,86
"Vynnset, Iron Maiden",Wins,76,188,200,286,111,166,234,203,97,193,138,229,118,110,61,169,255,190,65,86
"Vynnset, Iron Maiden",Wins going first,51,122,108,185,83,113,153,135,72,142,91,152,60,65,41,88,144,112,35,50
"Vynnset, Iron Maiden",Wins going second,25,66,92,101,28,53,81,68,25,51,47,77,58,45,20,81,111,78,30,36
