,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Betsy, Skin in the Game","Bravo, Showstopper",Dash I/O,"Dash, Inventor Extraordinaire",Dorinthea Ironsong,"Fai, Rising Rebellion","Kano, Dracai of Aether",Kassai of the Golden Sand,"Katsu, the Wanderer","Kayo, Armed and Dangerous","Levia, Shadowborn Abomination",Maxx 'The Hype' Nitro,"Olympia, Prized Fighter","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Victor Goldmane, High and Mighty","Viserai, Rune Blood","Vynnset, Iron Maiden"
Kassai of the Golden Sand,Games going second,58,173,55,105,83,61,177,38,78,52,158,252,104,45,29,210,85,43,142,55,155,312,124,53
Kassai of the Golden Sand,Wins,56,176,49,105,89,44,153,56,72,52,199,284,128,35,31,213,106,34,142,43,191,286,90,54
Kassai of the Golden Sand,Wins going first,20,92,8,38,39,18,70,28,44,24,102,124,60,10,10,93,58,17,63,16,97,122,41,22
Kassai of the Golden Sand,Wins going second,36,84,41,67,50,26,83,28,28,28,97,160,68,25,21,120,48,17,79,27,94,164,49,32
"Katsu, the Wanderer",Games,144,601,76,187,188,135,713,106,433,332,216,724,261,84,87,549,255,143,330,146,457,764,387,170
"Katsu, the Wanderer",Games going first,53,264,28,67,68,49,297,48,225,158,108,320,119,23,41,272,111,69,112,51,163,351,187,54
"Katsu, the Wanderer",Games going second,91,337,48,120,120,86,416,58,208,174,108,404,142,61,46,277,144,74,218,95,294,413,200,116
"Katsu, the Wanderer",Wins,66,282,41,72,115,60,299,65,275,133,108,362,145,59,54,259,135,56,170,110,178,195,206,102
"Katsu, the Wanderer",Wins going first,25,120,16,29,42,9,112,29,133,61,51,151,64,18,24,108,50,28,58,39,48,81,98,34
"Katsu, the Wanderer",Wins going second,41,162,25,43,73,51,187,36,142,72,57,211,81,41,30,151,85,28,112,71,130,114,108,68
"Kayo, Armed and Dangerous",Games,215,874,132,299,245,214,1100,174,815,472,724,748,435,140,138,816,338,213,572,243,723,1244,575,214
"Kayo, Armed and Dangerous",Games going first,87,402,46,100,93,90,543,86,360,252,404,374,230,55,69,325,171,120,254,91,370,671,273,66
"Kayo, Armed and Dangerous",Games going second,128,472,86,199,152,124,557,88,455,220,320,374,205,85,69,491,167,93,318,152,353,573,302,148
"Kayo, Armed and Dangerous",Wins,130,448,92,175,137,90,430,95,478,188,362,374,238,82,84,534,187,89,249,145,341,700,284,130
"Kayo, Armed and Dangerous",Wins going first,54,196,32,64,53,36,188,42,204,92,193,179,124,33,41,203,93,41,106,59,162,348,130,42
"Kayo, Armed and Dangerous",Wins going second,76,252,60,111,84,54,242,53,274,96,169,195,114,49,43,331,94,48,143,86,179,352,154,88
"Levia, Shadowborn Abomination",Games,100,322,63,146,99,100,423,85,280,204,261,435,98,57,56,318,146,103,275,108,346,477,206,99
"Levia, Shadowborn Abomination",Games going first,32,156,21,42,38,45,176,38,132,104,142,205,49,16,21,134,74,53,85,46,160,222,95,37
"Levia, Shadowborn Abomination",Games going second,68,166,42,104,61,55,247,47,148,100,119,230,49,41,35,184,72,50,190,62,186,255,111,62
"Levia, Shadowborn Abomination",Wins,42,130,36,75,46,45,157,48,165,76,116,197,49,33,30,191,77,38,117,55,155,197,70,48
"Levia, Shadowborn Abomination",Wins going first,16,62,15,23,21,20,63,20,72,36,61,91,23,10,11,76,38,14,44,26,54,82,39,24
"Levia, Shadowborn Abomination",Wins going second,26,68,21,52,25,25,94,28,93,40,55,106,26,23,19,115,39,24,73,29,101,115,31,24
Maxx 'The Hype' Nitro,Games,30,92,31,39,27,21,112,30,62,65,84,140,57,10,20,88,80,25,77,27,69,127,55,48
Maxx 'The Hype' Nitro,Games going first,20,59,11,22,10,11,87,17,39,45,61,85,41,5,8,56,43,16,44,15,45,77,33,23
Maxx 'The Hype' Nitro,Games going second,10,33,20,17,17,10,25,13,23,20,23,55,16,5,12,32,37,9,33,12,24,50,22,25
Maxx 'The Hype' Nitro,Wins,17,31,11,19,12,5,64,7,31,30,25,58,24,5,11,45,34,17,26,14,33,65,21,16
Maxx 'The Hype' Nitro,Wins going first,12,25,3,14,4,1,51,3,19,20,20,36,18,3,4,28,21,12,15,9,19,43,13,9
Maxx 'The Hype' Nitro,Wins going second,5,6,8,5,8,4,13,4,12,10,5,22,6,2,7,17,13,5,11,5,14,22,8,7
"Olympia, Prized Fighter",Games,43,123,18,46,77,30,84,28,74,51,87,138,56,20,32,94,55,40,87,42,116,147,103,42
"Olympia, Prized Fighter",Games going first,19,59,3,18,18,15,36,12,34,29,46,69,35,12,16,38,26,25,41,18,61,73,47,13
"Olympia, Prized Fighter",Games going second,24,64,15,28,59,15,48,16,40,22,41,69,21,8,16,56,29,15,46,24,55,74,56,29
"Olympia, Prized Fighter",Wins,20,42,10,19,36,10,34,12,34,20,33,54,26,9,16,28,20,8,37,22,27,36,32,16
"Olympia, Prized Fighter",Wins going first,8,15,2,10,8,6,15,4,15,8,16,26,16,5,8,15,6,3,15,8,13,15,12,7
"Olympia, Prized Fighter",Wins going second,12,27,8,9,28,4,19,8,19,12,17,28,10,4,8,13,14,5,22,14,14,21,20,9
"Prism, Awakener of Sol",Games,206,740,97,222,250,182,816,142,342,374,549,816,318,88,94,340,331,209,425,158,511,903,423,228
"Prism, Awakener of Sol",Games going first,98,410,44,87,109,81,444,70,173,210,277,491,184,32,56,170,168,119,176,86,252,453,192,97
"Prism, Awakener of Sol",Games going second,108,330,53,135,141,101,372,72,169,164,272,325,134,56,38,170,163,90,249,72,259,450,231,131
"Prism, Awakener of Sol",Wins,126,432,53,89,117,57,415,66,260,161,290,282,127,43,66,170,128,118,175,117,313,435,181,113
"Prism, Awakener of Sol",Wins going first,53,247,21,36,50,19,223,34,125,90,126,160,69,15,43,82,66,59,67,64,154,202,89,47
"Prism, Awakener of Sol",Wins going second,73,185,32,53,67,38,192,32,135,71,164,122,58,28,23,88,62,59,108,53,159,233,92,66
"Rhinar, Reckless Rampage",Games,75,387,57,116,87,59,395,64,199,176,255,338,146,80,55,331,114,79,248,97,237,388,220,108
"Rhinar, Reckless Rampage",Games going first,31,217,19,61,39,26,192,45,110,85,144,167,72,37,29,163,57,48,119,58,114,204,97,52
"Rhinar, Reckless Rampage",Games going second,44,170,38,55,48,33,203,19,89,91,111,171,74,43,26,168,57,31,129,39,123,184,123,56
"Rhinar, Reckless Rampage",Wins,39,175,25,62,46,30,144,31,97,70,120,151,69,46,35,203,57,38,105,55,106,177,81,63
"Rhinar, Reckless Rampage",Wins going first,13,95,13,31,19,15,65,21,52,37,59,73,33,24,15,101,29,26,47,35,50,91,35,32
"Rhinar, Reckless Rampage",Wins going second,26,80,12,31,27,15,79,10,45,33,61,78,36,22,20,102,28,12,58,20,56,86,46,31
"Riptide, Lurker of the Deep",Games,51,164,35,46,68,29,225,31,97,89,143,213,103,25,40,209,79,36,126,49,122,186,126,54
"Riptide, Lurker of the Deep",Games going first,16,82,13,13,20,12,101,15,54,43,74,93,50,9,15,90,31,18,45,20,70,69,50,16
"Riptide, Lurker of the Deep",Games going second,35,82,22,33,48,17,124,16,43,46,69,120,53,16,25,119,48,18,81,29,52,117,76,38
"Riptide, Lurker of the Deep",Wins,36,92,20,17,45,13,154,20,34,55,87,124,65,8,32,91,41,18,87,12,84,41,57,36
"Riptide, Lurker of the Deep",Wins going first,11,48,8,5,13,6,69,7,19,26,46,45,26,4,10,31,19,11,31,8,49,17,24,11
"Riptide, Lurker of the Deep",Wins going second,25,44,12,12,32,7,85,13,15,29,41,79,39,4,22,60,22,7,56,4,35,24,33,25
"Ser Boltyn, Breaker of Dawn",Games,125,527,76,186,154,119,451,130,307,232,330,572,275,77,87,425,248,126,170,134,347,597,356,145
"Ser Boltyn, Breaker of Dawn",Games going first,64,302,38,85,64,60,262,79,167,142,218,318,190,33,46,249,129,81,85,73,229,369,225,73
"Ser Boltyn, Breaker of Dawn",Games going second,61,225,38,101,90,59,189,51,140,90,112,254,85,44,41,176,119,45,85,61,118,228,131,72
"Ser Boltyn, Breaker of Dawn",Wins,70,213,50,96,94,67,171,56,167,90,160,323,158,51,50,250,143,39,85,73,179,293,134,83
"Ser Boltyn, Breaker of Dawn",Wins going first,35,124,23,52,46,33,101,31,99,63,106,175,117,22,24,141,71,25,44,42,121,183,81,48
"Ser Boltyn, Breaker of Dawn",Wins going second,35,89,27,44,48,34,70,25,68,27,54,148,41,29,26,109,72,14,41,31,58,110,53,35
"Teklovossen, Esteemed Magnate",Games,66,172,32,72,59,34,192,51,48,146,146,243,108,27,42,158,97,49,134,28,109,155,87,48
